旅遊景點,lat,lon,AED_1km,警消_1km,防空疏散地點_1km,避難收容所_1km
鼻頭港服務區,25.121784,121.9196,2,0,0,1
龍洞灣公園,25.129601,121.73812,0,0,0,0
龍洞南口海洋公園,25.129601,121.73812,0,0,0,0
福隆遊客服務中心,25.01674,121.94496,7,0,1,3
龍門露營區,25.036139,121.928314,0,0,0,0
鹽寮海濱公園,25.12532,121.83054,0,0,1,0
鼻頭角步道,25.121784,121.9196,2,0,0,1
舊草嶺隧道,25.003941,121.958347,0,0,0,0
草嶺古道系統(含遠望坑親水公園),25.129601,121.73812,0,0,0,0
福隆蔚藍海岸,25.01674,121.94496,7,0,1,3
野柳地質公園,25.203846,121.68766,7,0,6,2
白沙灣,25.283229,121.52064,1,0,1,0
翡翠灣濱海遊憩區,25.111145,121.2678,0,0,0,0
觀音山,25.11919,121.411032,0,0,0,0
野柳海洋世界,25.203846,121.68766,7,0,6,2
金山遊憩區,25.07772,121.853896,0,0,0,0
三芝遊憩區,25.259256,121.502495,13,1,14,5
烏來風景特定區,24.86466,121.551895,7,1,3,3
碧潭風景特定區,25.011997,121.465662,91,5,248,10
瑞芳風景特定區,25.108543,121.80583,12,2,45,8
滿月圓國家森林遊樂區,24.836125,121.445183,1,0,0,0
內洞國家森林遊樂區,24.833849,121.525587,1,0,0,1
坪林茶業博物館,24.935179,121.710526,7,1,5,6
新北市立鶯歌陶瓷博物館,25.1608,121.406643,4,1,19,1
新北市立十三行博物館,25.1608,121.406643,4,1,19,1
新北市黃金博物園區,25.016165,121.46311,98,7,223,9
新北市客家文化園區,24.942015,121.360555,9,2,43,1
朱銘美術館,25.011997,121.465662,91,5,248,10
林本源園邸( 林家花園),24.934069,121.55281,0,0,0,0
三峽歷史文物館,24.935263,121.373474,31,1,281,8
清水祖師廟,25.022508,121.822114,0,0,0,0
法鼓山世界佛教教育園區,25.059283,121.611704,111,7,223,11
十分瀑布,25.04378,121.77849,3,0,0,2
十分旅遊服務中心,25.04378,121.77849,3,0,0,2
淡水漁人碼頭,25.172283,121.44501,23,5,80,16
猴硐煤礦博物園區,25.089075,121.83082,3,0,0,1
雲仙樂園,25.011997,121.465662,91,5,248,10
大板根森林溫泉渡假村,25.13338,121.5024,57,8,727,12
淡水紅毛城,25.07087,121.664406,26,2,148,7
滬尾砲臺,25.016165,121.46311,98,7,223,9
前清淡水關稅務司官邸,25.172283,121.44501,23,5,80,16
鶯歌老街,24.953703,121.350746,15,1,107,5
三峽老街,24.932822,121.369303,27,1,275,9
八里左岸公園,25.129601,121.73812,0,0,0,0
淡水金色水岸,25.16658,121.44633,11,0,46,8
水湳洞遊客中心,24.955901,121.787849,0,0,0,0
林口三井Outlet,25.077291,121.392944,27,2,66,6
鼻頭龍洞遊憩區,25.121784,121.9196,2,0,0,1
鹽寮福隆遊憩區,25.01674,121.94496,7,0,1,3
烏來風景特定區,24.86466,121.551895,7,1,3,3
碧潭風景特定區,25.011997,121.465662,91,5,248,10
瑞芳風景特定區,25.108543,121.80583,12,2,45,8
滿月圓國家森林遊樂區,24.836125,121.445183,1,0,0,0
內洞國家森林遊樂區,24.833849,121.525587,1,0,0,1
坪林茶業博物館,24.935179,121.710526,7,1,5,6
新北市立鶯歌陶瓷博物館,25.1608,121.406643,4,1,19,1
新北市立十三行博物館,25.1608,121.406643,4,1,19,1
新北市黃金博物園區,25.016165,121.46311,98,7,223,9
新北市客家文化園區,24.942015,121.360555,9,2,43,1
朱銘美術館,25.011997,121.465662,91,5,248,10
林本源園邸(林家花園),24.934069,121.55281,0,0,0,0
三峽歷史文物館,24.935263,121.373474,31,1,281,8
清水祖師廟,25.022508,121.822114,0,0,0,0
法鼓山世界佛教教育園區,25.059283,121.611704,111,7,223,11
十分瀑布,25.04378,121.77849,3,0,0,2
十分旅遊服務中心,25.04378,121.77849,3,0,0,2
淡水漁人碼頭,25.172283,121.44501,23,5,80,16
猴硐煤礦博物園區,25.089075,121.83082,3,0,0,1
水湳洞遊客中心,24.955901,121.787849,0,0,0,0
林口三井Outlet,25.077291,121.392944,27,2,66,6
雲仙樂園,25.011997,121.465662,91,5,248,10
大板根森林溫泉渡假村,25.13338,121.5024,57,8,727,12
淡水紅毛城,25.07087,121.664406,26,2,148,7
滬尾砲臺,25.016165,121.46311,98,7,223,9
前清淡水關稅務司官邸,25.172283,121.44501,23,5,80,16
鶯歌老街,24.953703,121.350746,15,1,107,5
三峽老街,24.932822,121.369303,27,1,275,9
八里左岸公園,25.129601,121.73812,0,0,0,0
淡水金色水岸,25.16658,121.44633,11,0,46,8
鼻頭龍洞遊憩區,25.121784,121.9196,2,0,0,1
鹽寮福隆遊憩區,25.01674,121.94496,7,0,1,3
野柳地質公園,25.203846,121.68766,7,0,6,2
白沙灣,25.283229,121.52064,1,0,1,0
翡翠灣濱海遊憩區,25.111145,121.2678,0,0,0,0
觀音山,25.11919,121.411032,0,0,0,0
野柳海洋世界,25.203846,121.68766,7,0,6,2
金山遊憩區,25.07772,121.853896,0,0,0,0
三芝遊憩區,25.259256,121.502495,13,1,14,5
新北市坪林茶業博物館,25.1608,121.406643,4,1,19,1
新北市立黃金博物館,25.1608,121.406643,4,1,19,1
林本源園邸(林家花園) ,24.934069,121.55281,0,0,0,0
十分遊客中心,25.04378,121.77849,3,0,0,2
大板根森林溫泉酒店,24.97521,121.540565,44,3,223,9
滬尾礮臺,25.016165,121.46311,98,7,223,9
前清淡水關稅務司官邸 (小白宮),25.172283,121.44501,23,5,80,16
