旅遊景點,lat,lon,AED_10km,警消_10km,防空疏散地點_10km,避難收容所_10km
鼻頭港服務區,25.121784,121.9196,25,1,8,21
龍洞灣公園,25.129601,121.73812,53,7,217,33
龍洞南口海洋公園,25.129601,121.73812,53,7,217,33
福隆遊客服務中心,25.01674,121.94496,30,2,9,24
龍門露營區,25.036139,121.928314,37,2,9,28
鹽寮海濱公園,25.12532,121.83054,47,4,74,32
鼻頭角步道,25.121784,121.9196,25,1,8,21
舊草嶺隧道,25.003941,121.958347,23,2,6,21
草嶺古道系統(含遠望坑親水公園),25.129601,121.73812,53,7,217,33
福隆蔚藍海岸,25.01674,121.94496,30,2,9,24
野柳地質公園,25.203846,121.68766,49,3,64,32
白沙灣,25.283229,121.52064,46,5,53,26
翡翠灣濱海遊憩區,25.111145,121.2678,6,3,4,4
觀音山,25.11919,121.411032,581,65,4195,187
野柳海洋世界,25.203846,121.68766,49,3,64,32
金山遊憩區,25.07772,121.853896,74,6,82,52
三芝遊憩區,25.259256,121.502495,74,7,105,29
烏來風景特定區,24.86466,121.551895,34,3,68,17
碧潭風景特定區,25.011997,121.465662,2309,245,20967,463
瑞芳風景特定區,25.108543,121.80583,51,4,75,33
滿月圓國家森林遊樂區,24.836125,121.445183,19,1,11,10
內洞國家森林遊樂區,24.833849,121.525587,26,1,6,13
坪林茶業博物館,24.935179,121.710526,27,3,6,17
新北市立鶯歌陶瓷博物館,25.1608,121.406643,267,30,1469,92
新北市立十三行博物館,25.1608,121.406643,267,30,1469,92
新北市黃金博物園區,25.016165,121.46311,2307,243,20793,456
新北市客家文化園區,24.942015,121.360555,198,19,1480,68
朱銘美術館,25.011997,121.465662,2309,245,20967,463
林本源園邸( 林家花園),24.934069,121.55281,635,51,4419,144
三峽歷史文物館,24.935263,121.373474,209,19,1567,77
清水祖師廟,25.022508,121.822114,66,6,66,41
法鼓山世界佛教教育園區,25.059283,121.611704,2173,180,17180,311
十分瀑布,25.04378,121.77849,67,7,79,41
十分旅遊服務中心,25.04378,121.77849,67,7,79,41
淡水漁人碼頭,25.172283,121.44501,350,40,2949,107
猴硐煤礦博物園區,25.089075,121.83082,65,5,77,43
雲仙樂園,25.011997,121.465662,2309,245,20967,463
大板根森林溫泉渡假村,25.13338,121.5024,1370,132,13039,276
淡水紅毛城,25.07087,121.664406,592,67,4027,125
滬尾砲臺,25.016165,121.46311,2307,243,20793,456
前清淡水關稅務司官邸,25.172283,121.44501,350,40,2949,107
鶯歌老街,24.953703,121.350746,195,18,1471,66
三峽老街,24.932822,121.369303,195,18,1468,72
八里左岸公園,25.129601,121.73812,53,7,217,33
淡水金色水岸,25.16658,121.44633,413,47,3920,123
水湳洞遊客中心,24.955901,121.787849,26,2,6,23
林口三井Outlet,25.077291,121.392944,616,65,3466,181
鼻頭龍洞遊憩區,25.121784,121.9196,25,1,8,21
鹽寮福隆遊憩區,25.01674,121.94496,30,2,9,24
烏來風景特定區,24.86466,121.551895,34,3,68,17
碧潭風景特定區,25.011997,121.465662,2309,245,20967,463
瑞芳風景特定區,25.108543,121.80583,51,4,75,33
滿月圓國家森林遊樂區,24.836125,121.445183,19,1,11,10
內洞國家森林遊樂區,24.833849,121.525587,26,1,6,13
