City,Town,Count,households,population,time,households_per_count,population_per_count,Dispersion,SpatialEntropy
臺北市,中山區,3216,101946,215245,113Y12M,31.699626865671643,66.92941542288557,0.016384231148429816,3.4607129765626383
臺北市,中正區,1751,65637,148375,113Y12M,37.48543689320388,84.7372929754426,0.013825391525265032,3.5944151465137573
臺北市,信義區,1002,89966,205067,113Y12M,89.78642714570859,204.65768463073852,0.015124022820876127,3.670537061713884
臺北市,內湖區,2069,111767,273748,113Y12M,54.01981633639439,132.3093281778637,0.022683742549967613,3.485334740928527
臺北市,北投區,2346,100163,240623,113Y12M,42.69522591645354,102.56734867860187,0.02064340050906534,2.89609073140366
臺北市,南港區,637,48459,112643,113Y12M,76.07378335949764,176.83359497645213,0.01782272589413781,3.629583103800979
臺北市,士林區,2869,108840,264194,113Y12M,37.93656326246079,92.08574416172883,0.021515595466801922,2.8491942908564174
臺北市,大同區,1296,53751,118992,113Y12M,41.47453703703704,91.81481481481481,0.010356787771156757,4.091205252889109
臺北市,大安區,3489,120306,289908,113Y12M,34.48151332760103,83.09200343938092,0.015910624669430662,3.8436021474776636
臺北市,文山區,1835,109543,258333,113Y12M,59.696457765667574,140.78092643051772,0.017670835362158025,3.4840972107871324
臺北市,松山區,1612,80793,191826,113Y12M,50.119727047146405,118.99875930521092,0.012981720450170223,3.6359902876297574
臺北市,萬華區,1441,80322,171915,113Y12M,55.74045801526717,119.30256766134629,0.011397380727550394,3.7890171082745887
