旅遊景點,lat,lon,AED_1km,警消_1km,防空疏散地點_1km,避難收容所_1km
陽明山遊客中心,25.137403,121.54202,17,1,76,1
陽明書屋,25.137403,121.54202,17,1,76,1
陽明公園,25.044918,121.51677,206,21,841,15
大屯遊憩區,25.148842,121.50517,10,0,155,3
龍鳳谷遊憩區,25.03752,121.56368,168,10,563,7
小油坑遊憩區,25.176049,121.544341,3,0,0,1
國立故宮博物院,25.09674,121.547186,17,1,43,0
市立美術館,25.03752,121.56368,168,10,563,7
國立歷史博物館,25.1608,121.406643,4,1,19,1
國立臺灣科學教育館,25.03752,121.56368,168,10,563,7
市立天文科學教育館,25.03752,121.56368,168,10,563,7
國父紀念館,25.045032,121.515025,219,19,764,16
國立中正紀念堂,25.051865,121.54671,135,5,1145,19
臺北探索館,25.045032,121.515025,219,19,764,16
台北當代藝術館,25.044743,121.53953,144,6,1032,13
北投溫泉博物館,25.13338,121.5024,57,8,727,12
台北故事館,25.045032,121.515025,219,19,764,16
凱達格蘭文化館,25.136093,121.49714,45,7,634,12
國民革命忠烈祠,25.03752,121.56368,168,10,563,7
國立臺灣藝術教育館,25.03752,121.56368,168,10,563,7
市立動物園,25.059283,121.611704,111,7,223,11
士林官邸公園,25.044918,121.51677,206,21,841,15
臺北自來水園區,25.059069,121.611979,109,7,215,10
關渡自然公園,25.12306,121.46691,16,2,79,4
美麗華摩天輪,25.03752,121.56368,168,10,563,7
台北101景觀台,25.044743,121.53953,144,6,1032,13
龍山寺,25.03752,121.56368,168,10,563,7
臺北市孔廟,25.044743,121.53953,144,6,1032,13
國立臺灣博物館,25.03752,121.56368,168,10,563,7
台北市立兒童新樂園,25.044743,121.53953,144,6,1032,13
台北植物園,25.044743,121.53953,144,6,1032,13
華山1914文化創意產業園區,25.059283,121.611704,111,7,223,11
冷水坑,25.155785,121.562144,0,0,0,0
擎天崗,25.03752,121.56368,168,10,563,7
松山文創園區,25.059283,121.611704,111,7,223,11
白石湖吊橋,25.02089,121.7193,2,0,0,4
國立故宮博物院,25.09674,121.547186,17,1,43,0
臺北市立美術館,25.044743,121.53953,144,6,1032,13
國立歷史博物館,25.1608,121.406643,4,1,19,1
國立臺灣科學教育館,25.03752,121.56368,168,10,563,7
臺北市立天文科學教育館,25.044743,121.53953,144,6,1032,13
國立國父紀念館,25.045032,121.515025,219,19,764,16
國立中正紀念堂,25.051865,121.54671,135,5,1145,19
臺北探索館,25.045032,121.515025,219,19,764,16
台北當代藝術館,25.044743,121.53953,144,6,1032,13
北投溫泉博物館,25.13338,121.5024,57,8,727,12
圓山別莊,25.06329,121.56591,62,2,249,9
凱達格蘭文化館,25.136093,121.49714,45,7,634,12
國立臺灣博物館,25.03752,121.56368,168,10,563,7
國民革命忠烈祠,25.03752,121.56368,168,10,563,7
國立臺灣藝術教育館,25.03752,121.56368,168,10,563,7
臺北市立動物園,25.059283,121.611704,111,7,223,11
士林官邸公園,25.044918,121.51677,206,21,841,15
臺北自來水園區,25.059069,121.611979,109,7,215,10
關渡自然公園,25.12306,121.46691,16,2,79,4
美麗華摩天輪,25.03752,121.56368,168,10,563,7
台北101景觀台,25.044743,121.53953,144,6,1032,13
臺北市孔廟,25.044743,121.53953,144,6,1032,13
臺北市立兒童新樂園,25.044743,121.53953,144,6,1032,13
台北植物園,25.044743,121.53953,144,6,1032,13
華山1914文化創意產業園區,25.059283,121.611704,111,7,223,11
松山文創園區,25.059283,121.611704,111,7,223,11
白石湖吊橋,25.02089,121.7193,2,0,0,4
陽明山遊客中心,25.137403,121.54202,17,1,76,1
陽明書屋,25.137403,121.54202,17,1,76,1
陽明公園,25.044918,121.51677,206,21,841,15
大屯遊憩區,25.148842,121.50517,10,0,155,3
龍鳳谷遊憩區,25.03752,121.56368,168,10,563,7
小油坑遊憩區,25.176049,121.544341,3,0,0,1
冷水坑,25.155785,121.562144,0,0,0,0
擎天崗,25.03752,121.56368,168,10,563,7
台北探索館,25.045032,121.515025,219,19,764,16
台北101,25.044743,121.53953,144,6,1032,13
