City,Town,Count,households,population,time,households_per_count,population_per_count,Dispersion,SpatialEntropy
臺北市,中山區,22,101946,215245,113Y12M,4633.909090909091,9783.863636363636,0.021090132580767446,2.334881892747467
臺北市,中正區,28,65637,148375,113Y12M,2344.1785714285716,5299.107142857143,0.01352590602039274,2.5431479657629477
臺北市,信義區,18,89966,205067,113Y12M,4998.111111111111,11392.611111111111,0.012207688635016289,1.9559838465843622
臺北市,內湖區,23,111767,273748,113Y12M,4859.434782608696,11902.08695652174,0.017615315705881786,2.2234131077999275
臺北市,北投區,20,100163,240623,113Y12M,5008.15,12031.15,0.03006318840037739,2.0854684353173742
臺北市,南港區,15,48459,112643,113Y12M,3230.6,7509.533333333334,0.015083636836581022,1.5867847075280475
臺北市,士林區,15,108840,264194,113Y12M,7256.0,17612.933333333334,0.022953534236544462,1.8989267893363289
臺北市,大同區,22,53751,118992,113Y12M,2443.2272727272725,5408.727272727273,0.010082087210483587,2.689178166518139
臺北市,大安區,19,120306,289908,113Y12M,6331.894736842105,15258.315789473685,0.01573004182355649,2.302014103085905
臺北市,文山區,20,109543,258333,113Y12M,5477.15,12916.65,0.017099386308487993,1.969540332941515
臺北市,松山區,15,80793,191826,113Y12M,5386.2,12788.4,0.014140365282561592,1.8943120247335319
臺北市,萬華區,23,80322,171915,113Y12M,3492.2608695652175,7474.565217391304,0.00980740343155419,2.4269840307183714
