City,Town,Count,households,population,time,households_per_count,population_per_count,Dispersion,SpatialEntropy
臺北市,中山區,306,101946,215245,113Y12M,333.15686274509807,703.4150326797386,0.020322011343973715,3.1848136819981447
臺北市,中正區,274,65637,148375,113Y12M,239.55109489051094,541.514598540146,0.03211248639281733,0.0723463528902639
臺北市,信義區,267,89966,205067,113Y12M,336.9513108614232,768.0411985018727,0.0156655608748274,3.0697420068369032
臺北市,內湖區,204,111767,273748,113Y12M,547.8774509803922,1341.9019607843138,0.021905594556325052,3.31348915034353
臺北市,北投區,183,100163,240623,113Y12M,547.3387978142076,1314.879781420765,0.032491007064231955,1.9843584670025252
臺北市,南港區,169,48459,112643,113Y12M,286.7396449704142,666.5266272189349,0.039739070734078924,0.1086562719219718
臺北市,士林區,230,108840,264194,113Y12M,473.2173913043478,1148.6695652173912,0.029516658820575116,2.665380312612683
臺北市,大同區,107,53751,118992,113Y12M,502.3457943925234,1112.0747663551401,0.012273977204901063,2.7500491902627697
臺北市,大安區,327,120306,289908,113Y12M,367.908256880734,886.5688073394496,0.01636676764737726,3.7118544203535278
臺北市,文山區,242,109543,258333,113Y12M,452.6570247933884,1067.4917355371902,0.02241527990905824,3.621800415545336
臺北市,松山區,234,80793,191826,113Y12M,345.2692307692308,819.7692307692307,0.013018515003402904,3.26192801100736
臺北市,萬華區,129,80322,171915,113Y12M,622.6511627906976,1332.6744186046512,0.012016846531965952,3.0549027031169276
