旅遊景點,lat,lon,AED_10km,警消_10km,防空疏散地點_10km,避難收容所_10km
陽明山遊客中心,25.137403,121.54202,1346,119,13275,249
陽明書屋,25.137403,121.54202,1346,119,13275,249
陽明公園,25.044918,121.51677,3294,318,28394,581
大屯遊憩區,25.148842,121.50517,901,90,9046,218
龍鳳谷遊憩區,25.03752,121.56368,2985,277,25344,489
小油坑遊憩區,25.176049,121.544341,445,34,4671,103
國立故宮博物院,25.09674,121.547186,2664,253,23769,419
市立美術館,25.03752,121.56368,2985,277,25344,489
國立歷史博物館,25.1608,121.406643,267,30,1469,92
國立臺灣科學教育館,25.03752,121.56368,2985,277,25344,489
市立天文科學教育館,25.03752,121.56368,2985,277,25344,489
國父紀念館,25.045032,121.515025,3289,314,28336,579
國立中正紀念堂,25.051865,121.54671,3209,306,27720,522
臺北探索館,25.045032,121.515025,3289,314,28336,579
台北當代藝術館,25.044743,121.53953,3270,312,28040,555
北投溫泉博物館,25.13338,121.5024,1370,132,13039,276
台北故事館,25.045032,121.515025,3289,314,28336,579
凱達格蘭文化館,25.136093,121.49714,1202,113,11920,262
國民革命忠烈祠,25.03752,121.56368,2985,277,25344,489
國立臺灣藝術教育館,25.03752,121.56368,2985,277,25344,489
市立動物園,25.059283,121.611704,2173,180,17180,311
士林官邸公園,25.044918,121.51677,3294,318,28394,581
臺北自來水園區,25.059069,121.611979,2156,177,17084,309
關渡自然公園,25.12306,121.46691,1291,133,12134,286
美麗華摩天輪,25.03752,121.56368,2985,277,25344,489
台北101景觀台,25.044743,121.53953,3270,312,28040,555
龍山寺,25.03752,121.56368,2985,277,25344,489
臺北市孔廟,25.044743,121.53953,3270,312,28040,555
國立臺灣博物館,25.03752,121.56368,2985,277,25344,489
台北市立兒童新樂園,25.044743,121.53953,3270,312,28040,555
台北植物園,25.044743,121.53953,3270,312,28040,555
華山1914文化創意產業園區,25.059283,121.611704,2173,180,17180,311
冷水坑,25.155785,121.562144,628,57,6794,126
擎天崗,25.03752,121.56368,2985,277,25344,489
松山文創園區,25.059283,121.611704,2173,180,17180,311
白石湖吊橋,25.02089,121.7193,115,16,478,51
國立故宮博物院,25.09674,121.547186,2664,253,23769,419
臺北市立美術館,25.044743,121.53953,3270,312,28040,555
國立歷史博物館,25.1608,121.406643,267,30,1469,92
國立臺灣科學教育館,25.03752,121.56368,2985,277,25344,489
臺北市立天文科學教育館,25.044743,121.53953,3270,312,28040,555
國立國父紀念館,25.045032,121.515025,3289,314,28336,579
國立中正紀念堂,25.051865,121.54671,3209,306,27720,522
臺北探索館,25.045032,121.515025,3289,314,28336,579
台北當代藝術館,25.044743,121.53953,3270,312,28040,555
北投溫泉博物館,25.13338,121.5024,1370,132,13039,276
圓山別莊,25.06329,121.56591,2938,270,25596,469
凱達格蘭文化館,25.136093,121.49714,1202,113,11920,262
國立臺灣博物館,25.03752,121.56368,2985,277,25344,489
國民革命忠烈祠,25.03752,121.56368,2985,277,25344,489
國立臺灣藝術教育館,25.03752,121.56368,2985,277,25344,489
臺北市立動物園,25.059283,121.611704,2173,180,17180,311
士林官邸公園,25.044918,121.51677,3294,318,28394,581
臺北自來水園區,25.059069,121.611979,2156,177,17084,309
關渡自然公園,25.12306,121.46691,1291,133,12134,286
美麗華摩天輪,25.03752,121.56368,2985,277,25344,489
台北101景觀台,25.044743,121.53953,3270,312,28040,555
臺北市孔廟,25.044743,121.53953,3270,312,28040,555
臺北市立兒童新樂園,25.044743,121.53953,3270,312,28040,555
台北植物園,25.044743,121.53953,3270,312,28040,555
華山1914文化創意產業園區,25.059283,121.611704,2173,180,17180,311
松山文創園區,25.059283,121.611704,2173,180,17180,311
白石湖吊橋,25.02089,121.7193,115,16,478,51
陽明山遊客中心,25.137403,121.54202,1346,119,13275,249
陽明書屋,25.137403,121.54202,1346,119,13275,249
陽明公園,25.044918,121.51677,3294,318,28394,581
大屯遊憩區,25.148842,121.50517,901,90,9046,218
龍鳳谷遊憩區,25.03752,121.56368,2985,277,25344,489
小油坑遊憩區,25.176049,121.544341,445,34,4671,103
冷水坑,25.155785,121.562144,628,57,6794,126
擎天崗,25.03752,121.56368,2985,277,25344,489
台北探索館,25.045032,121.515025,3289,314,28336,579
台北101,25.044743,121.53953,3270,312,28040,555
